Birthrate,Deathrate,name,population,region
"51.488","31.414","Afghanistan","9351000","Asia"
"39.628","10.176","Albania","1738000","Europe"
"49.416","19.557","Algeria","11620000","Africa"
"54.509","31.313","Angola","5608000","Africa"
"33.658","8.799","Antigua and Barbuda","56000","Americas"
"23.242","8.752","Argentina","21153000","Americas"
"35.561","8.838","Armenia","2010000","Asia"
"33.32","6.118","Aruba","56000","Americas"
"22.1","8.7","Australia","10643000","Oceania"
"18.7","12.7","Austria","7157000","Europe"
"45.15","12.321","Azerbaijan","4171000","Asia"
"33.381","7.776","Bahamas","121000","Americas"
"45.645","12.698","Bahrain","173000","Asia"
"49.15","19.262","Bangladesh","50752000","Asia"
"29.266","11.87","Barbados","233000","Americas"
"21.975","9.514","Belarus","8280000","Europe"
"16.8","12.2","Belgium","9284000","Europe"
"43.862","10.54","Belize","97000","Americas"
"45.13","27.731","Benin","2503000","Africa"
"26","7.4","Bermuda","47000","Americas"
"49.937","28.137","Bhutan","235000","Asia"
"44.025","22.918","Bolivia (Plurinational State of)","3803000","Americas"
"30.233","8.964","Bosnia and Herzegovina","3353000","Europe"
"47.003","15.838","Botswana","524000","Africa"
"41.611","12.68","Brazil","76514000","Americas"
"43.045","8.53","Brunei Darussalam","89000","Asia"
"16.7","8.7","Bulgaria","8022000","Europe"
"47.21","27.735","Burkina Faso","4960000","Africa"
"48.136","22.586","Burundi","2907000","Africa"
"46.067","21.436","Cambodia","6028000","Asia"
"43.388","21.778","Cameroon","5399000","Africa"
"25.2","7.7","Canada","18597000","Americas"
"47.169","19.254","Cabo Verde","210000","Africa"
"43.83","27.118","Central African Republic","1552000","Africa"
"45.587","25.935","Chad","3121000","Africa"
"35.238","11.921","Chile","8477000","Americas"
"37.01","10.02","China","682102976","Asia"
"44.394","11.545","Colombia","17093000","Americas"
"47.418","22.6","Comoros","197000","Africa"
"42.557","16.317","Congo","1069000","Africa"
"43.469","9.303","Costa Rica","1433000","Americas"
"54.848","26.547","C̫te d'Ivoire","3771000","Africa"
"17.2","10","Croatia","4251000","Europe"
"34.162","8.52","Cuba","7454000","Americas"
"24.746","7.132","Cyprus","578000","Asia"
"13.9","10.8","Czechia","9691000","Europe"
"46.802","22.394","Congo, Democratic Republic of the","16041000","Africa"
"16.7","9.8","Denmark","4649000","Europe"
"44.125","17.604","Djibouti","94000","Africa"
"50.122","14.843","Dominican Republic","3521000","Americas"
"43.819","14.727","Ecuador","4809000","Americas"
"45.977","18.558","Egypt","28112000","Africa"
"46.866","16.133","El Salvador","2931000","Americas"
"41.337","27.101","Equatorial Guinea","262000","Africa"
"48.458","23.923","Eritrea","1060000","Africa"
"16.1","10.9","Estonia","1245000","Europe"
"47.843","23.837","Ethiopia","23221000","Africa"
"42.999","10.723","Fiji","422000","Oceania"
"18.1","9.5","Finland","4499000","Europe"
"18.6","11.2","France","46907000","Europe"
"39.445","10.502","French Polynesia","84000","Oceania"
"34.027","25.096","Gabon","511000","Africa"
"49.677","30.995","Gambia","380000","Africa"
"24.511","11.701","Georgia","4149000","Asia"
"17.8","11.9","Germany","74489000","Europe"
"47.199","17.9","Ghana","7072000","Africa"
"18","7.9","Greece","8351000","Europe"
"41.625","11.432","Grenada","92000","Americas"
"38.025","7.587","Guam","70000","Oceania"
"47.334","17.783","Guatemala","4464000","Americas"
"45.669","28.924","Guinea","3611000","Africa"
"42.035","24.483","Guinea-Bissau","629000","Africa"
"41.204","9.696","Guyana","606000","Americas"
"43.638","21.298","Haiti","4019000","Americas"
"49.358","18.724","Honduras","2156000","Americas"
"34","6.3","Hong Kong","3230000","Asia"
"12.9","10.8","Hungary","10063000","Europe"
"25.8","6.8","Iceland","183000","Europe"
"41.594","21.335","India","469076992","Asia"
"43.934","17.016","Indonesia","92518000","Asia"
"46.66","20.625","Iran (Islamic Republic of)","23071000","Asia"
"43.167","16.061","Iraq","7674000","Asia"
"21.8","11.9","Ireland","2792000","Europe"
"14.1","16.5","Isle of Man","48000","Europe"
"24.9","6","Israel","2234000","Asia"
"18.4","10","Italy","50442000","Europe"
"40.825","8.632","Jamaica","1677000","Americas"
"17.1","7.5","Japan","95459000","Asia"
"52.928","14.746","Jordan","1011000","Asia"
"33.968","11.66","Kazakhstan","10757000","Asia"
"51.062","19.096","Kenya","8647000","Africa"
"45.908","16.384","Kiribati","43000","Oceania"
"43.594","8.087","Kuwait","337000","Asia"
"39.651","14.654","Kyrgyzstan","2319000","Asia"
"43.031","19.865","Lao People's Democratic Republic","2221000","Asia"
"16.1","10.8","Latvia","2186000","Europe"
"37.425","9.919","Lebanon","1925000","Asia"
"42.303","18.519","Lesotho","869000","Africa"
"49.164","28.296","Liberia","1167000","Africa"
"50.349","21.023","Libya","1551000","Africa"
"20.6","9.5","Liechtenstein","17000","Europe"
"20.9","8.7","Lithuania","2846000","Europe"
"16","12.6","Luxembourg","321000","Europe"
"26.221","7.773","Macao","176000","Asia"
"28.664","9.72","North Macedonia","1527000","Europe"
"48.485","23.987","Madagascar","5352000","Africa"
"52.424","26.502","Malawi","3839000","Africa"
"41.744","9.849","Malaysia","8692000","Asia"
"54.925","27.067","Maldives","95000","Asia"
"50.103","36.335","Mali","5381000","Africa"
"23.2","8.8","Malta","317000","Europe"
"48.707","19.324","Mauritania","902000","Africa"
"38.8","9.3","Mauritius","698000","Africa"
"44.777","11.6","Mexico","40195000","Americas"
"42.933","11.068","Micronesia (Federated States of)","47000","Oceania"
"25.91","11.058","Moldova, Republic of","3147000","Europe"
"47.307","18.88","Mongolia","1011000","Asia"
"28.152","9.141","Montenegro","510000","Europe"
"49.971","17.678","Morocco","13095000","Africa"
"49.324","27.94","Mozambique","7507000","Africa"
"42.374","20.549","Myanmar","22698000","Asia"
"42.285","17.612","Namibia","665000","Africa"
"44.275","26.793","Nepal","10433000","Asia"
"20.9","7.9","Netherlands","11767000","Europe"
"32.4","8.5","New Caledonia","83000","Oceania"
"26.2","8.9","New Zealand","2477000","Oceania"
"49.26","17.356","Nicaragua","1887000","Americas"
"58.228","28.885","Niger","3588000","Africa"
"46.215","25.519","Nigeria","47030000","Africa"
"34.975","13.596","Korea (Democratic People's Republic of)","11872000","Asia"
"17.1","9.4","Norway","3639000","Europe"
"49.183","21.119","Oman","579000","Asia"
"44.283","19.356","Pakistan","47199000","Asia"
"41.013","9.362","Panama","1202000","Americas"
"42.152","20.441","Papua New Guinea","2340000","Oceania"
"41.355","8.006","Paraguay","2007000","Americas"
"46.836","17.902","Peru","10749000","Americas"
"43.24","10.669","Philippines","28077000","Asia"
"19.8","7.9","Poland","30389000","Europe"
"24.5","10.8","Portugal","8889000","Europe"
"31.3","6.8","Puerto Rico","2378000","Americas"
"41.146","8.39","Qatar","56000","Asia"
"16.2","9.2","Romania","18924000","Europe"
"21.543","8.099","Russian Federation","122858000","Europe"
"51.036","22.307","Rwanda","3053000","Africa"
"46.807","12.424","Saint Lucia","92000","Americas"
"46.647","12.219","Saint Vincent and the Grenadines","83000","Americas"
"47.325","13.749","Samoa","116000","Oceania"
"46.929","16.877","Sao Tome and Principe","64000","Africa"
"47.556","19.537","Saudi Arabia","4363000","Asia"
"50.258","25.681","Senegal","3387000","Africa"
"47.698","33.263","Sierra Leone","2389000","Africa"
"33.7","5.8","Singapore","1741000","Asia"
"19.8","8.1","Slovakia","4249000","Europe"
"18.1","9.9","Slovenia","1606000","Europe"
"40.937","15.12","Solomon Islands","125000","Oceania"
"47.424","25.99","Somalia","2874000","Africa"
"39.731","14.293","South Africa","17966000","Africa"
"39.577","12.873","Korea, Republic of","26812000","Asia"
"51.27","31.579","South Sudan","2951000","Africa"
"21.1","8.7","Spain","31075000","Europe"
"35.764","10.843","Sri Lanka","10352000","Asia"
"46.831","16.951","Sudan","8004000","Africa"
"44.633","10.676","Suriname","304000","Americas"
"47.813","19.744","Eswatini","350000","Africa"
"14.2","10.2","Sweden","7580000","Europe"
"18.7","9.9","Switzerland","5487000","Europe"
"48.073","14.828","Tajikistan","2237000","Asia"
"49.191","20.125","Tanzania, United Republic of","10652000","Africa"
"42.47","12.533","Thailand","29081000","Asia"
"46.208","28.239","Timor-Leste","492000","Asia"
"47.663","22.93","Togo","1613000","Africa"
"46.124","8.64","Tonga","66000","Oceania"
"35.869","8.369","Trinidad and Tobago","879000","Americas"
"45.284","22.047","Tunisia","4305000","Africa"
"44.044","19.037","Turkey","28833000","Asia"
"45.121","15.173","Turkmenistan","1715000","Asia"
"49.319","19.719","Uganda","7216000","Africa"
"18.654","8.228","Ukraine","43752000","Europe"
"45.963","13.252","United Arab Emirates","112000","Asia"
"18.3","11.9","United Kingdom of Great Britain and Northern Ireland","53109000","Europe"
"22.4","9.5","United States of America","192314000","Americas"
"34.24","9.36","Virgin Islands (U.S.)","39000","Americas"
"21.867","9.574","Uruguay","2604000","Americas"
"43.564","13.009","Uzbekistan","9114000","Asia"
"47.716","17.25","Vanuatu","68000","Oceania"
"46.121","9.419","Venezuela (Bolivarian Republic of)","8743000","Americas"
"41.048","11.271","Viet Nam","34683000","Asia"
"51.374","30.363","Yemen","5474000","Asia"
"50.213","19.235","Zambia","3261000","Africa"
"48.128","15.088","Zimbabwe","4039000","Africa"
